field 	Temperature 	q_loaded 	q_unloaded 	reso_freq 	Rsf 	del_Rsf 	del_Xsf 
1.324190e+04 	5.194700e+01 	6.661290e+03 	6.839279e+03 	7.881135e+09 	1.535594e-02 	-7.179903e-04 	9.363963e-03 
1.406970e+04 	5.194700e+01 	6.939285e+03 	7.124802e+03 	7.881132e+09 	1.473185e-02 	-1.342084e-03 	9.432286e-03 
1.491630e+04 	5.194600e+01 	6.858781e+03 	7.048492e+03 	7.881122e+09 	1.489370e-02 	-1.180237e-03 	9.703811e-03 
1.569090e+04 	5.194400e+01 	6.964742e+03 	7.154058e+03 	7.881115e+09 	1.467071e-02 	-1.403219e-03 	9.895211e-03 
1.653720e+04 	5.194100e+01 	6.899332e+03 	7.085248e+03 	7.881110e+09 	1.481530e-02 	-1.258628e-03 	1.005121e-02 
17383 	5.194000e+01 	6.925665e+03 	7.110071e+03 	7.881103e+09 	1.476282e-02 	-1.311112e-03 	1.021665e-02 
18193 	5.193800e+01 	6.850123e+03 	7.033231e+03 	7.881092e+09 	1.492648e-02 	-1.147448e-03 	1.053570e-02 
1.902120e+04 	5.193800e+01 	6.787742e+03 	6.970749e+03 	7.881086e+09 	1.506223e-02 	-1.011706e-03 	1.069766e-02 
1.984930e+04 	5.193500e+01 	6.835438e+03 	7.016062e+03 	7.881083e+09 	1.496354e-02 	-1.110390e-03 	1.076088e-02 
2.062370e+04 	5.193200e+01 	6.809570e+03 	6.988487e+03 	7.881071e+09 	1.502344e-02 	-1.050490e-03 	1.108392e-02 
21506 	5.193100e+01 	6.717162e+03 	6.889702e+03 	7.881066e+09 	1.524197e-02 	-8.319642e-04 	1.122289e-02 
2.233390e+04 	5.192800e+01 	6.724483e+03 	6.900422e+03 	7.881056e+09 	1.521795e-02 	-8.559814e-04 	1.150527e-02 
23144 	5.192700e+01 	6.662301e+03 	6.836589e+03 	7.881051e+09 	1.536207e-02 	-7.118610e-04 	1.162407e-02 
23918 	5.192500e+01 	6.691206e+03 	6.866737e+03 	7.881046e+09 	1.529367e-02 	-7.802617e-04 	1.176853e-02 
2.480080e+04 	5.192300e+01 	6.682686e+03 	6.855385e+03 	7.881034e+09 	1.531936e-02 	-7.545765e-04 	1.208523e-02 
