13/12/2023 16:29:51:getField ['4', '12937.84', '0.000']
13/12/2023 16:29:52:getTemprature ['2', '12938.56', '47.6013']
13/12/2023 16:29:52:getField ['4', '12939.09', '0.000']
13/12/2023 16:29:53:getField ['4', '12939.56', '0.000']
13/12/2023 16:29:53:getField ['4', '12940.11', '0.000']
13/12/2023 16:29:54:getField ['4', '12940.56', '0.000']
13/12/2023 16:29:57:getTemprature ['2', '12944.28', '47.6008']
13/12/2023 16:29:58:getField ['4', '12944.80', '0.000']
13/12/2023 16:29:58:getField ['4', '12945.30', '0.000']
13/12/2023 16:29:59:getField ['4', '12945.78', '0.000']
13/12/2023 16:29:59:getField ['4', '12946.28', '0.000']
13/12/2023 16:30:03:getTemprature ['2', '12950.00', '47.6040']
13/12/2023 16:30:04:getField ['4', '12950.52', '0.000']
13/12/2023 16:30:04:getField ['4', '12951.00', '0.000']
13/12/2023 16:30:05:getField ['4', '12951.53', '0.000']
13/12/2023 16:30:05:getField ['4', '12952.00', '0.000']
13/12/2023 16:30:09:getTemprature ['2', '12955.72', '47.6008']
13/12/2023 16:30:09:getField ['4', '12956.20', '0.000']
13/12/2023 16:30:10:getField ['4', '12956.70', '0.000']
13/12/2023 16:30:16:getField ['4', '12963.31', '0.000']
13/12/2023 16:30:17:getField ['4', '12963.47', '0.000']
13/12/2023 16:30:20:getTemprature ['2', '12967.20', '47.6008']
13/12/2023 16:30:21:getField ['4', '12967.69', '0.000']
13/12/2023 16:30:21:getField ['4', '12968.20', '0.000']
13/12/2023 16:30:22:getField ['4', '12968.69', '0.000']
13/12/2023 16:30:22:getField ['4', '12969.20', '0.000']
13/12/2023 16:30:26:getTemprature ['2', '12972.89', '47.6024']
13/12/2023 16:30:27:getField ['4', '12973.42', '0.000']
13/12/2023 16:30:27:getField ['4', '12973.91', '0.000']
13/12/2023 16:30:28:getField ['4', '12974.45', '0.000']
13/12/2023 16:30:28:getField ['4', '12974.91', '0.000']
13/12/2023 16:34:37:getTemprature ['2', '13224.03', '47.6011']
13/12/2023 16:34:38:getField ['4', '13224.56', '0.000']
13/12/2023 16:34:38:getTemprature ['2', '13225.28', '47.6011']
13/12/2023 16:34:39:getField ['4', '13225.77', '0.000']
13/12/2023 16:34:39:getField ['4', '13226.25', '0.000']
13/12/2023 16:34:40:getField ['4', '13226.78', '0.000']
